item_id,app_name,genres
761140,Lost Summoner Kitty,Action
643980,Ironbound,Free to Play
670290,Real Pool 3D - Poolians,Casual
767400,弹炸人2222,Action
772540,Battle Royale Trainer,Action
774276,SNOW - All Access Basic Pass,Free to Play
774277,SNOW - All Access Pro Pass,Free to Play
774278,SNOW - All Access Legend Pass,Free to Play
768800,Race,Casual
768570,Uncanny Islands,Action
770380,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Action
768880,Beach Rules,Casual
765320,Planetarium 2 - Zen Odyssey,Casual
773650,The first thrust of God,Adventure
774271,SNOW - Starter Pack,Free to Play
773690,The first thrust of God - All Aircrafts,Adventure
774279,SNOW - Lifetime Pack,Free to Play
768060,The Warrior Of Treasures,Action
775880,RC Plane 3 - Canyon Scenario,Racing
775881,RC Plane 3 - F-53B,Racing
653960,DinoBlaster,Action
282010,Carmageddon Max Pack,Action
70,Half-Life,Action
752360,Fallen Mage,Action
520680,Lost Cities,Casual
690410,Twisted Enhanced Edition,Action
766850,Vaporwave Simulator,Casual
413120,Tactics Forever,Action
773120,Christmas Santa Troubles,Adventure
754360,Underdone - Soundtrack,Action
716110,Bitcoin Clicker,Adventure
1640,Disciples II: Gallean's Return,Strategy
1630,Disciples II: Rise of the Elves,Strategy
2400,The Ship: Murder Party,Action
662570,United Tactics,Strategy
381620,Life of Rome,Indie
714020,Idle Adventure,Adventure
759920,Souland,Action
659780,Darkness and a Crowd,Action
603280,TAROTICA VOO DOO,Action
753110,Chronicles of Vinland,Casual
753100,Orbitality,Action
764280,Atomic Adam: Episode 1,Action
758550,Mirt. Tales of the Cold Land. Chapter 2,Adventure
3800,Advent Rising,Action
1520,DEFCON,Indie
2420,The Ship: Single Player,Action
4000,Garry's Mod,Indie
4230,RACE - The WTCC Game,Racing
4900,Zen of Sudoku,Casual
2520,Gumboy - Crazy Adventures™,Casual
6200,Ghost Master®,Strategy
6210,Vegas: Make It Big™,Strategy
6300,Dreamfall: The Longest Journey,Adventure
2990,FlatOut 2™,Racing
6220,FlatOut,Racing
6510,Lost Planet™: Extreme Condition,Action
3980,CivCity: Rome,Strategy
1700,Arx Fatalis,RPG
6310,The Longest Journey,Action
3990,Civilization IV®: Warlords,Strategy
7610,Railroad Tycoon 3,Strategy
7600,Sid Meier's Railroads!,Strategy
7620,Railroad Tycoon II Platinum,Strategy
2540,RIP - Trilogy™,Casual
7650,X-COM: Terror From the Deep,Strategy
8000,Tomb Raider: Anniversary,Action
6550,Devil May Cry® 3 Special Edition,Action
8200,Sam & Max 101: Culture Shock,Action
2290,Final DOOM,Action
2570,Vigil: Blood Bitterness™,Indie
8210,Sam & Max 102: Situation: Comedy,Action
2280,Ultimate Doom,Action
9160,Master Levels for Doom II,Action
2300,DOOM II,Action
2270,Wolfenstein 3D,Action
9010,Return to Castle Wolfenstein,Action
9040,QUAKE Mission Pack 1: Scourge of Armagon,Action
9000,Spear of Destiny,Action
3810,BloodRayne,Action
9030,QUAKE Mission Pack 2: Dissolution of Eternity,Action
2310,QUAKE,Action
3230,Genesis Rising,Strategy
9310,"Warhammer® 40,000: Dawn of War® – Winter Assault",Strategy
7670,BioShock™,Action
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",Strategy
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",Strategy
4760,Rome: Total War™ - Collection,Strategy
4770,Rome: Total War™ - Alexander,Strategy
50970,Mystery Case Files: Madame Fate®,Casual
12170,Grand Theft Auto,Action
12180,Grand Theft Auto 2,Action
12130,Manhunt,Action
12160,Midnight Club 2,Racing
12150,Max Payne 2: The Fall of Max Payne,Action
7000,Tomb Raider: Legend,Action
12140,Max Payne,Action
17480,Command & Conquer: Red Alert 3,Strategy
12500,PuzzleQuest: Challenge of the Warlords,Casual
12310,Culpa Innata,RPG
12510,Prison Tycoon 3™: Lockdown,Strategy
12530,Hunting Unlimited™ 2008,Action
12520,18 Wheels of Steel: American Long Haul,Racing
8100,Conflict: Denied Ops,Action
2780,ARMA: Combat Operations,Action
9710,Desperados 2: Cooper's Revenge,Action
9800,Death to Spies,Action
9760,Act of War: High Treason,Action
2700,RollerCoaster Tycoon® 3: Platinum,Simulation
2710,Act of War: Direct Action,Action
13200,Unreal 2: The Awakening,Action
13250,Unreal Gold,Action
13000,Ninja Reflex: Steamworks Edition,Casual
13560,Tom Clancy's Splinter Cell®,Action
13520,Far Cry®,Action
13240,Unreal Tournament: Game of the Year Edition,Action
13540,Tom Clancy's Rainbow Six® Vegas,Action
15210,Silent Hunter® III,Simulation
16180,Virtual Villagers - The Secret City,Casual
3520,Mystery P.I.™ - The Vegas Heist,Casual
15970,Luxor,Casual
15950,Reaxxion,Casual
15960,Little Farm,Casual
15900,7 Wonders II,Casual
15910,Luxor Amun Rising,Casual
15930,Luxor 3,Casual
15160,Petz® Horsez® 2,Simulation
15920,Luxor 2,Casual
15080,Rayman Raving Rabbids™,Action
15200,Silent Hunter®: Wolves of the Pacific,Simulation
15320,IL-2 Sturmovik: 1946,Simulation
15240,Silent Hunter®: Wolves of the Pacific U-Boat Missions,Simulation
8310,Bone: Out From Boneville,Adventure
12600,Midnight Outlaw: 6 Hours to SunUp,Racing
8320,Bone: The Great Cow Race,Adventure
12590,Sprint Cars Road to Knoxville,Racing
12580,Dr. Daisy Pet Vet,Casual
12560,Ride! Carnival Tycoon,Simulation
12570,Hot Dish,Casual
12540,Mahjongg Investigations: Under Suspicion,Casual
11050,Dracula Origin,Adventure
10520,Beijing 2008™ - The Official Video Game of the Olympic Games,Sports
11040,Sherlock Holmes - Nemesis,Adventure
19500,Eternity's Child,Adventure
11260,Pacific Storm Allies,Simulation
19200,Tank Universal,Action
12360,FlatOut: Ultimate Carnage,Racing
15710,Oddworld: Abe's Exoddus®,Adventure
15700,Oddworld: Abe's Oddysee®,Adventure
8660,GTR Evolution Expansion Pack for RACE 07,Racing
7770,X-COM: Enforcer,Strategy
7660,X-COM: Apocalypse,Strategy
7760,X-COM: UFO Defense,Strategy
20510,S.T.A.L.K.E.R.: Clear Sky,Action
17330,Crysis Warhead®,Action
17300,Crysis,Action
7730,X-COM: Interceptor,Strategy
20900,The Witcher: Enhanced Edition Director's Cut,Action
1530,Multiwinia,Indie
8690,STCC - The Game 1 - Expansion Pack for RACE 07,Racing
17120,Children of the Nile: Alexandria,Strategy
16810,Sid Meier's Civilization IV: Colonization,Strategy
19830,Tom Clancy's Rainbow Six® 3 Gold,Action
21000,LEGO Batman,Action
4460,City Life 2008,Simulation
17140,Hinterland,RPG
15390,Brothers in Arms: Hell's Highway™,Action
21300,Gravitron 2,Indie
3050,Xpand Rally Xtreme,Racing
15380,Heroes of Might & Magic V: Hammers of Fate,Strategy
19800,Brothers in Arms: Earned in Blood™,Action
15370,Heroes of Might & Magic V: Tribes of the East,Strategy
19930,The Settlers®: Rise Of An Empire Gold Edition,Strategy
15350,Brain Spa,Casual
19810,The Sum of All Fears,Action
3540,Peggle™ Nights,Casual
22000,World of Goo,Indie
2820,X3: Terran Conflict,Action
1230,Mare Nostrum,Action
18300,Spectraball,Casual
20200,Galactic Bowling,Indie
12200,Bully: Scholarship Edition,Action
19900,Far Cry® 2: Fortune's Edition,Action
11240,Space Trader: Merchant Marine,Action
256522,PRR Wagon Pack 01,Simulation
275144,"Class 421 London South East ""Jaffa Cake""",Simulation
256521,ATSF Wagon Pack 01,Simulation
222569,GP20 Union Pacific Add-on Livery,Simulation
256535,UK Van Wagon Pack,Simulation
256611,CSX SD70MAC Add-on Livery,Simulation
256576,CSX ES44AC Add-on Livery,Simulation
9480,Saints Row 2,Action
17470,Dead Space,Action
12770,Rise of the Argonauts,RPG
17410,Mirror's Edge™,Action
18500,Defense Grid: The Awakening,Indie
16450,F.E.A.R. 2: Project Origin,Action
15400,Harvest: Massive Encounter,Strategy
18600,Mayhem Intergalactic,Indie
11340,Larva Mortus,Action
25830,Knights of Honor,Strategy
23460,Ceville,Action
10600,Empire: Total War™ - Special Forces Units & Bonus Content,Strategy
21010,Watchmen: The End is Nigh,Action
22180,Penumbra Overture,Action
13210,Unreal Tournament 3 Black,Action
12640,Drakensang,RPG
21600,Age of Booty™,Casual
27020,The Graveyard,Indie
24740,Burnout Paradise: The Ultimate Box,Racing
90047,Zombie Master,Action
26000,The Maw,Action
26006,The Maw: River Redirect,Action
26005,The Maw: Brute Force,Action
11330,Obulis,Casual
27800,Space Giraffe,Indie
9850,Codename: Panzers - Cold War,Simulation
3600,Escape Rosecliff Island,Casual
29580,Guild Wars Nightfall,RPG
29540,Guild Wars,RPG
29560,Guild Wars Factions,RPG
29570,Guild Wars Trilogy,Massively Multiplayer
23700,Puzzle Kingdoms,Casual
16060,Samantha Swift and the Golden Touch,Casual
1930,Two Worlds Epic Edition,RPG
18470,Helldorado,Strategy
7510,X-Blades,Action
22200,Zeno Clash,Action
26007,The Maw: Speeder Lane,Indie
25900,King's Bounty: The Legend,RPG
16200,Virtual Families,Casual
7840,Death Track®: Resurrection,Racing
8890,Freedom Force vs. the Third Reich,RPG
8880,Freedom Force,RPG
34500,Light of Altair,Indie
1280,Darkest Hour: Europe '44-'45,Action
10150,Prototype™,Action
29160,Blueberry Garden,Adventure
12470,Port Royale 2,Strategy
22340,Call of Cthulhu®: Dark Corners of the Earth,Action
22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition,RPG
22320,The Elder Scrolls III: Morrowind® Game of the Year Edition,RPG
900883,The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,Action
12440,Ankh 2: Heart of Osiris,Adventure
32710,Armored Fist 3,Simulation
32740,MiG-29 Fulcrum,Simulation
12460,BC Kings,Strategy
21980,Call of Juarez®: Bound in Blood,Action
31860,Nancy Drew®: Legend of the Crystal Skull,Adventure
